Gstin,Status,KycScore,SharedContact,Sector
27AAAAA7009A1Z0,Active,38,9876543210,General
27AAAAA5558A1Z1,Active,17,9876543210,General
27AAAAA8421A1Z2,Active,14,9876543210,General
27AAAAA2109A1Z3,Active,11,9876543210,General
27AAAAA5043A1Z4,Active,19,9876543210,General
27AAAAA8681A1Z5,Active,34,9876543210,General
27AAAAA2328A1Z6,Active,21,9876543210,General
27AAAAA3202A1Z7,Cancelled,24,9876543210,General
27AAAAA4453A1Z8,Active,20,9876543210,General
27AAAAA3776A1Z9,Active,26,9876543210,General
27AAAAA7114A1Z10,Active,18,9876543210,General
27AAAAA8331A1Z11,Active,38,9876543210,General
27AAAAA4624A1Z12,Cancelled,29,9876543210,General
27AAAAA8147A1Z13,Active,14,9876543210,General
27AAAAA8028A1Z14,Active,30,9876543210,General
27AAAAA1798A1Z15,Active,28,9876543210,General
27AAAAA2239A1Z16,Active,24,9876543210,General
27AAAAA2285A1Z17,Active,32,9876543210,General
27AAAAA3363A1Z18,Active,11,9876543210,General
27AAAAA8718A1Z19,Active,33,9876543210,General
27AAAAA8744A1Z20,Cancelled,20,9876543210,General
27AAAAA7096A1Z21,Active,22,9876543210,General
27AAAAA7263A1Z22,Active,24,9876543210,General
27AAAAA3971A1Z23,Active,26,9876543210,General
27AAAAA5726A1Z24,Active,23,9876543210,General
27AAAAA7649A1Z25,Active,32,9876543210,General
27AAAAA7634A1Z26,Active,20,9876543210,General
27AAAAA4075A1Z27,Active,24,9876543210,General
27AAAAA9799A1Z28,Active,37,9876543210,General
27AAAAA2726A1Z29,Active,16,9876543210,General
27AAAAA9800A1Z30,Active,33,9876543210,General
27AAAAA6193A1Z31,Active,15,9876543210,General
27AAAAA5512A1Z32,Active,20,9876543210,General
27AAAAA1559A1Z33,Active,24,9876543210,General
27AAAAA5498A1Z34,Cancelled,37,9876543210,General
27AAAAA8867A1Z35,Active,26,9876543210,General
27AAAAA4627A1Z36,Active,28,9876543210,General
27AAAAA9991A1Z37,Active,28,9876543210,General
27AAAAA5929A1Z38,Cancelled,35,9876543210,General
27AAAAA4780A1Z39,Active,31,9876543210,General
27AAAAA1856A1Z40,Active,18,9876543210,General
27AAAAA5925A1Z41,Cancelled,13,9876543210,General
27AAAAA3860A1Z42,Active,15,9876543210,General
27AAAAA6300A1Z43,Active,16,9876543210,General
27AAAAA6852A1Z44,Active,37,9876543210,General
27AAAAA3150A1Z45,Active,35,9876543210,General
27AAAAA7903A1Z46,Cancelled,25,9876543210,General
27AAAAA8895A1Z47,Active,10,9876543210,General
27AAAAA5089A1Z48,Active,29,9876543210,General
27AAAAA3748A1Z49,Cancelled,40,9876543210,General
27AAAAA6757A1Z50,Active,34,9876543210,General
27AAAAA3630A1Z51,Active,29,9876543210,General
27AAAAA4535A1Z52,Active,31,9876543210,General
27AAAAA8870A1Z53,Active,34,9876543210,General
27AAAAA1550A1Z54,Active,36,9876543210,General
27AAAAA8811A1Z55,Active,13,9876543210,General
27AAAAA6445A1Z56,Active,33,9876543210,General
27AAAAA4221A1Z57,Active,40,9876543210,General
27AAAAA5267A1Z58,Active,35,9876543210,General
27AAAAA5597A1Z59,Cancelled,16,9876543210,General
27AAAAA6343A1Z60,Active,26,9876543210,General
27AAAAA5878A1Z61,Active,18,9876543210,General
27AAAAA7993A1Z62,Active,11,9876543210,General
27AAAAA4729A1Z63,Active,35,9876543210,General
27AAAAA6931A1Z64,Active,37,9876543210,General
27AAAAA4638A1Z65,Active,34,9876543210,General
27AAAAA5281A1Z66,Cancelled,25,9876543210,General
27AAAAA8645A1Z67,Active,14,9876543210,General
27AAAAA9320A1Z68,Active,34,9876543210,General
27AAAAA6091A1Z69,Cancelled,21,9876543210,General
27AAAAA3141A1Z70,Cancelled,34,9876543210,General
27AAAAA9392A1Z71,Active,17,9876543210,General
27AAAAA5333A1Z72,Active,10,9876543210,General
27AAAAA9021A1Z73,Active,30,9876543210,General
27AAAAA6970A1Z74,Active,15,9876543210,General
27AAAAA9596A1Z75,Active,10,9876543210,General
27AAAAA9853A1Z76,Active,21,9876543210,General
27AAAAA3638A1Z77,Active,39,9876543210,General
27AAAAA9558A1Z78,Active,25,9876543210,General
27AAAAA6694A1Z79,Cancelled,23,9876543210,General
27AAAAA8870A1Z80,Active,18,9876543210,General
27AAAAA5639A1Z81,Active,37,9876543210,General
27AAAAA9461A1Z82,Active,32,9876543210,General
27AAAAA9184A1Z83,Active,23,9876543210,General
27AAAAA4511A1Z84,Active,11,9876543210,General
27AAAAA1587A1Z85,Cancelled,12,9876543210,General
27AAAAA9347A1Z86,Cancelled,12,9876543210,General
27AAAAA9587A1Z87,Active,11,9876543210,General
27AAAAA8810A1Z88,Active,18,9876543210,General
27AAAAA8190A1Z89,Active,12,9876543210,General
27AAAAA6326A1Z90,Active,18,9876543210,General
27AAAAA6481A1Z91,Active,14,9876543210,General
27AAAAA3487A1Z92,Active,21,9876543210,General
27AAAAA3241A1Z93,Active,10,9876543210,General
27AAAAA1315A1Z94,Cancelled,10,9876543210,General
27AAAAA8284A1Z95,Active,39,9876543210,General
27AAAAA1903A1Z96,Cancelled,34,9876543210,General
27AAAAA7597A1Z97,Cancelled,29,9876543210,General
27AAAAA7252A1Z98,Cancelled,26,9876543210,General
27AAAAA1390A1Z99,Active,32,9876543210,General
27AAAAA4135A1Z100,Active,22,9876543210,General
27AAAAA3434A1Z101,Active,18,9876543210,General
27AAAAA3055A1Z102,Active,38,9876543210,General
27AAAAA4773A1Z103,Active,16,9876543210,General
27AAAAA4096A1Z104,Active,30,9876543210,General
27AAAAA3070A1Z105,Cancelled,17,9876543210,General
27AAAAA4596A1Z106,Active,11,9876543210,General
27AAAAA7966A1Z107,Active,12,9876543210,General
27AAAAA4078A1Z108,Active,31,9876543210,General
27AAAAA1361A1Z109,Active,18,9876543210,General
27AAAAA3249A1Z110,Active,25,9876543210,General
27AAAAA4449A1Z111,Cancelled,12,9876543210,General
27AAAAA2855A1Z112,Active,20,9876543210,General
27AAAAA1997A1Z113,Active,38,9876543210,General
27AAAAA6749A1Z114,Cancelled,17,9876543210,General
27AAAAA8579A1Z115,Active,16,9876543210,General
27AAAAA8584A1Z116,Active,24,9876543210,General
27AAAAA7979A1Z117,Cancelled,19,9876543210,General
27AAAAA4213A1Z118,Active,10,9876543210,General
