Gstin,payment_gap,payment_gap_pct,avg_delay_days,max_delay_days,ghost_invoice_count,ghost_invoice_pct,KycScore,is_cancelled,shared_contact_flag,self_invoice_flag,fraud_label
27AAAAA7009A1Z0,342277.55,94.29624053173895,31.0,40,1.0,14.285714285714285,38,0,1,0.0,1
27AAAAA5558A1Z1,425412.38999999996,82.9993746352909,19.5,28,1.0,10.0,17,0,1,0.0,1
27AAAAA8421A1Z2,279661.38999999996,84.8623119928003,23.333333333333332,34,2.0,28.57142857142857,14,0,1,0.0,1
27AAAAA2109A1Z3,106062.63,81.84330536279506,25.5,39,0.0,0.0,11,0,1,0.0,1
27AAAAA5043A1Z4,318087.79,91.5108556150394,26.166666666666668,38,0.0,0.0,19,0,1,0.0,1
27AAAAA8681A1Z5,240150.38999999996,90.52416175101602,27.5,38,1.0,20.0,34,0,1,0.0,1
27AAAAA2328A1Z6,264763.83999999997,88.21629511527843,24.666666666666668,38,0.0,0.0,21,0,1,0.0,1
27AAAAA3202A1Z7,239075.99,93.40147442255703,24.833333333333332,38,1.0,16.666666666666664,24,1,1,0.0,1
27AAAAA4453A1Z8,533952.6200000001,98.98903391533608,23.666666666666668,35,1.0,9.090909090909092,20,0,1,0.0,1
27AAAAA3776A1Z9,321153.42999999993,93.71800191093385,24.0,39,2.0,22.22222222222222,26,0,1,0.0,1
27AAAAA7114A1Z10,571642.3999999999,86.28249222771798,25.0,40,2.0,16.666666666666664,18,0,1,0.0,0
27AAAAA8331A1Z11,225506.01,91.43805397109955,21.166666666666668,40,0.0,0.0,38,0,1,0.0,1
27AAAAA4624A1Z12,204014.19,86.6792923552907,23.666666666666668,33,0.0,0.0,29,1,1,0.0,1
27AAAAA8147A1Z13,174092.33000000002,90.20197583672237,26.166666666666668,38,0.0,0.0,14,0,1,0.0,1
27AAAAA8028A1Z14,503675.80000000005,93.30445307218143,21.0,30,3.0,23.076923076923077,30,0,1,0.0,1
27AAAAA1798A1Z15,70083.73999999999,84.80364248992375,29.0,39,0.0,0.0,28,0,1,0.0,1
27AAAAA2239A1Z16,396484.67,86.66394285825324,26.833333333333332,36,1.0,12.5,24,0,1,0.0,1
27AAAAA2285A1Z17,376477.51,96.14460102663541,21.166666666666668,34,2.0,28.57142857142857,32,0,1,0.0,1
27AAAAA3363A1Z18,433568.47,86.23356962970131,24.5,33,1.0,9.090909090909092,11,0,1,0.0,1
27AAAAA8718A1Z19,185699.82,82.1685091471958,23.0,36,0.0,0.0,33,0,1,0.0,1
27AAAAA8744A1Z20,225219.32,98.86986772987434,29.166666666666668,38,1.0,25.0,20,1,1,0.0,1
27AAAAA7096A1Z21,247554.69999999998,95.65917678484927,26.166666666666668,40,1.0,16.666666666666664,22,0,1,0.0,1
27AAAAA7263A1Z22,146924.9,80.22548221867933,27.166666666666668,40,1.0,25.0,24,0,1,0.0,1
27AAAAA3971A1Z23,542167.15,89.28310266612831,22.5,37,1.0,10.0,26,0,1,0.0,1
27AAAAA5726A1Z24,270308.92,96.59669587307006,26.833333333333332,38,1.0,20.0,23,0,1,0.0,1
27AAAAA7649A1Z25,552334.17,98.99397480686616,28.333333333333332,40,3.0,27.27272727272727,32,0,1,0.0,1
27AAAAA7634A1Z26,220076.91,97.47437806948062,28.166666666666668,38,1.0,14.285714285714285,20,0,1,0.0,1
27AAAAA4075A1Z27,425753.33999999997,92.17269947677276,18.0,34,3.0,30.0,24,0,1,0.0,1
27AAAAA9799A1Z28,133542.88999999998,96.45901797541424,26.5,40,1.0,25.0,37,0,1,0.0,1
27AAAAA2726A1Z29,253842.21,89.47758853371465,22.333333333333332,33,1.0,20.0,16,0,1,0.0,0
27AAAAA9800A1Z30,395619.19,81.05955808005447,24.0,36,0.0,0.0,33,0,1,0.0,1
27AAAAA6193A1Z31,403060.94,89.85197776100745,21.333333333333332,37,3.0,42.857142857142854,15,0,1,0.0,1
27AAAAA5512A1Z32,272292.99,86.8394142580148,25.0,36,1.0,16.666666666666664,20,0,1,0.0,1
27AAAAA1559A1Z33,236288.19999999998,83.9060601488418,27.666666666666668,35,2.0,33.33333333333333,24,0,1,0.0,1
27AAAAA5498A1Z34,273383.63,93.34851970908757,29.5,40,0.0,0.0,37,1,1,0.0,1
27AAAAA8867A1Z35,540841.22,82.31143765860924,19.833333333333332,32,3.0,23.076923076923077,26,0,1,0.0,1
27AAAAA4627A1Z36,366234.67,88.78184010653393,21.166666666666668,40,3.0,37.5,28,0,1,0.0,1
27AAAAA9991A1Z37,365934.54,85.96856863862392,19.833333333333332,31,1.0,14.285714285714285,28,0,1,0.0,1
27AAAAA5929A1Z38,419690.68,84.31090994344214,29.333333333333332,40,1.0,11.11111111111111,35,1,1,0.0,1
27AAAAA4780A1Z39,454196.76000000007,85.58076810436663,23.333333333333332,40,0.0,0.0,31,0,1,0.0,1
27AAAAA1856A1Z40,288142.29,88.67095256969542,24.0,39,3.0,33.33333333333333,18,0,1,0.0,1
