Gstin,Month,DelayDays
27AAAAA7009A1Z0,2023-01,19
27AAAAA7009A1Z0,2023-02,37
27AAAAA7009A1Z0,2023-03,33
27AAAAA7009A1Z0,2023-04,35
27AAAAA7009A1Z0,2023-05,22
27AAAAA7009A1Z0,2023-06,40
27AAAAA5558A1Z1,2023-01,20
27AAAAA5558A1Z1,2023-02,19
27AAAAA5558A1Z1,2023-03,18
27AAAAA5558A1Z1,2023-04,10
27AAAAA5558A1Z1,2023-05,22
27AAAAA5558A1Z1,2023-06,28
27AAAAA8421A1Z2,2023-01,26
27AAAAA8421A1Z2,2023-02,22
27AAAAA8421A1Z2,2023-03,15
27AAAAA8421A1Z2,2023-04,28
27AAAAA8421A1Z2,2023-05,15
27AAAAA8421A1Z2,2023-06,34
27AAAAA2109A1Z3,2023-01,39
27AAAAA2109A1Z3,2023-02,26
27AAAAA2109A1Z3,2023-03,35
27AAAAA2109A1Z3,2023-04,12
27AAAAA2109A1Z3,2023-05,31
27AAAAA2109A1Z3,2023-06,10
27AAAAA5043A1Z4,2023-01,28
27AAAAA5043A1Z4,2023-02,18
27AAAAA5043A1Z4,2023-03,31
27AAAAA5043A1Z4,2023-04,26
27AAAAA5043A1Z4,2023-05,16
27AAAAA5043A1Z4,2023-06,38
27AAAAA8681A1Z5,2023-01,25
27AAAAA8681A1Z5,2023-02,38
27AAAAA8681A1Z5,2023-03,19
27AAAAA8681A1Z5,2023-04,35
27AAAAA8681A1Z5,2023-05,29
27AAAAA8681A1Z5,2023-06,19
27AAAAA2328A1Z6,2023-01,27
27AAAAA2328A1Z6,2023-02,23
27AAAAA2328A1Z6,2023-03,15
27AAAAA2328A1Z6,2023-04,17
27AAAAA2328A1Z6,2023-05,38
27AAAAA2328A1Z6,2023-06,28
27AAAAA3202A1Z7,2023-01,38
27AAAAA3202A1Z7,2023-02,12
27AAAAA3202A1Z7,2023-03,38
27AAAAA3202A1Z7,2023-04,18
27AAAAA3202A1Z7,2023-05,11
27AAAAA3202A1Z7,2023-06,32
27AAAAA4453A1Z8,2023-01,23
27AAAAA4453A1Z8,2023-02,31
27AAAAA4453A1Z8,2023-03,35
27AAAAA4453A1Z8,2023-04,29
27AAAAA4453A1Z8,2023-05,11
27AAAAA4453A1Z8,2023-06,13
27AAAAA3776A1Z9,2023-01,39
27AAAAA3776A1Z9,2023-02,14
27AAAAA3776A1Z9,2023-03,29
27AAAAA3776A1Z9,2023-04,10
27AAAAA3776A1Z9,2023-05,28
27AAAAA3776A1Z9,2023-06,24
27AAAAA7114A1Z10,2023-01,36
27AAAAA7114A1Z10,2023-02,25
27AAAAA7114A1Z10,2023-03,40
27AAAAA7114A1Z10,2023-04,15
27AAAAA7114A1Z10,2023-05,16
27AAAAA7114A1Z10,2023-06,18
27AAAAA8331A1Z11,2023-01,40
27AAAAA8331A1Z11,2023-02,24
27AAAAA8331A1Z11,2023-03,13
27AAAAA8331A1Z11,2023-04,10
27AAAAA8331A1Z11,2023-05,18
27AAAAA8331A1Z11,2023-06,22
27AAAAA4624A1Z12,2023-01,21
27AAAAA4624A1Z12,2023-02,23
27AAAAA4624A1Z12,2023-03,18
27AAAAA4624A1Z12,2023-04,20
27AAAAA4624A1Z12,2023-05,27
27AAAAA4624A1Z12,2023-06,33
27AAAAA8147A1Z13,2023-01,36
27AAAAA8147A1Z13,2023-02,16
27AAAAA8147A1Z13,2023-03,20
27AAAAA8147A1Z13,2023-04,16
27AAAAA8147A1Z13,2023-05,38
27AAAAA8147A1Z13,2023-06,31
27AAAAA8028A1Z14,2023-01,16
27AAAAA8028A1Z14,2023-02,22
27AAAAA8028A1Z14,2023-03,16
27AAAAA8028A1Z14,2023-04,30
27AAAAA8028A1Z14,2023-05,28
27AAAAA8028A1Z14,2023-06,14
27AAAAA1798A1Z15,2023-01,34
27AAAAA1798A1Z15,2023-02,24
27AAAAA1798A1Z15,2023-03,29
27AAAAA1798A1Z15,2023-04,12
27AAAAA1798A1Z15,2023-05,36
27AAAAA1798A1Z15,2023-06,39
27AAAAA2239A1Z16,2023-01,32
27AAAAA2239A1Z16,2023-02,36
27AAAAA2239A1Z16,2023-03,22
27AAAAA2239A1Z16,2023-04,20
27AAAAA2239A1Z16,2023-05,19
27AAAAA2239A1Z16,2023-06,32
27AAAAA2285A1Z17,2023-01,16
27AAAAA2285A1Z17,2023-02,14
27AAAAA2285A1Z17,2023-03,34
27AAAAA2285A1Z17,2023-04,17
27AAAAA2285A1Z17,2023-05,27
27AAAAA2285A1Z17,2023-06,19
27AAAAA3363A1Z18,2023-01,33
27AAAAA3363A1Z18,2023-02,22
27AAAAA3363A1Z18,2023-03,22
27AAAAA3363A1Z18,2023-04,11
27AAAAA3363A1Z18,2023-05,30
27AAAAA3363A1Z18,2023-06,29
27AAAAA8718A1Z19,2023-01,26
27AAAAA8718A1Z19,2023-02,13
27AAAAA8718A1Z19,2023-03,18
27AAAAA8718A1Z19,2023-04,12
27AAAAA8718A1Z19,2023-05,36
27AAAAA8718A1Z19,2023-06,33
27AAAAA8744A1Z20,2023-01,26
27AAAAA8744A1Z20,2023-02,36
27AAAAA8744A1Z20,2023-03,38
27AAAAA8744A1Z20,2023-04,25
27AAAAA8744A1Z20,2023-05,17
27AAAAA8744A1Z20,2023-06,33
27AAAAA7096A1Z21,2023-01,21
27AAAAA7096A1Z21,2023-02,40
27AAAAA7096A1Z21,2023-03,39
27AAAAA7096A1Z21,2023-04,16
27AAAAA7096A1Z21,2023-05,13
27AAAAA7096A1Z21,2023-06,28
27AAAAA7263A1Z22,2023-01,23
27AAAAA7263A1Z22,2023-02,40
27AAAAA7263A1Z22,2023-03,13
27AAAAA7263A1Z22,2023-04,21
27AAAAA7263A1Z22,2023-05,27
27AAAAA7263A1Z22,2023-06,39
27AAAAA3971A1Z23,2023-01,19
27AAAAA3971A1Z23,2023-02,37
27AAAAA3971A1Z23,2023-03,13
27AAAAA3971A1Z23,2023-04,16
