Gstin,Gstr1_Liability,Gstr3b_Paid
27AAAAA7009A1Z0,362981.12,20703.57
27AAAAA5558A1Z1,512548.91,87136.52
27AAAAA8421A1Z2,329547.22,49885.83
27AAAAA2109A1Z3,129592.31,23529.68
27AAAAA5043A1Z4,347595.69,29507.9
27AAAAA8681A1Z5,265288.72,25138.33
27AAAAA2328A1Z6,300130.31,35366.47
27AAAAA3202A1Z7,255965.96999999997,16889.98
27AAAAA4453A1Z8,539405.8300000001,5453.21
27AAAAA3776A1Z9,342680.61999999994,21527.19
27AAAAA7114A1Z10,662524.21,90881.81
27AAAAA8331A1Z11,246621.62,21115.61
27AAAAA4624A1Z12,235366.7,31352.51
27AAAAA8147A1Z13,193002.79,18910.46
27AAAAA8028A1Z14,539819.68,36143.88
27AAAAA1798A1Z15,82642.37,12558.63
27AAAAA2239A1Z16,457496.68999999994,61012.02
27AAAAA2285A1Z17,391574.26,15096.75
27AAAAA3363A1Z18,502783.86,69215.39
27AAAAA8718A1Z19,225998.76999999996,40298.95
27AAAAA8744A1Z20,227793.69,2574.37
27AAAAA7096A1Z21,258788.24000000002,11233.54
27AAAAA7263A1Z22,183139.93999999997,36215.04
27AAAAA3971A1Z23,607244.97,65077.82
27AAAAA5726A1Z24,279832.47,9523.55
27AAAAA7649A1Z25,557947.26,5613.09
27AAAAA7634A1Z26,225779.24,5702.33
27AAAAA4075A1Z27,461908.29,36154.95
27AAAAA9799A1Z28,138445.21,4902.32
27AAAAA2726A1Z29,283693.62,29851.41
27AAAAA9800A1Z30,488059.88999999996,92440.7
27AAAAA6193A1Z31,448583.27,45522.33
27AAAAA5512A1Z32,313559.22,41266.23
27AAAAA1559A1Z33,281610.41,45322.21
27AAAAA5498A1Z34,292863.38,19479.75
27AAAAA8867A1Z35,657066.9099999999,116225.69
27AAAAA4627A1Z36,412510.79,46276.12
27AAAAA9991A1Z37,425660.85000000003,59726.31
27AAAAA5929A1Z38,497789.29,78098.61
27AAAAA4780A1Z39,530722.93,76526.17
27AAAAA1856A1Z40,324956.8,36814.51
27AAAAA5925A1Z41,745139.77,11199.17
27AAAAA3860A1Z42,283672.15,40291.65
27AAAAA6300A1Z43,334354.33999999997,33958.05
27AAAAA6852A1Z44,298893.72,54652.39
27AAAAA3150A1Z45,599310.4,24361.07
27AAAAA7903A1Z46,251141.25,24619.16
27AAAAA8895A1Z47,247248.19999999998,12524.24
27AAAAA5089A1Z48,403258.06000000006,18651.99
27AAAAA3748A1Z49,528185.37,22809.9
27AAAAA6757A1Z50,230428.25,43450.64
27AAAAA3630A1Z51,457804.51,16386.41
27AAAAA4535A1Z52,575395.42,13620.08
27AAAAA8870A1Z53,399049.79,70108.43
27AAAAA1550A1Z54,335029.98,19020.63
27AAAAA8811A1Z55,467668.2700000001,80538.08
27AAAAA6445A1Z56,594133.03,105596.55
27AAAAA4221A1Z57,484008.72000000003,42826.0
27AAAAA5267A1Z58,408418.17,16183.71
27AAAAA5597A1Z59,312228.45999999996,15673.6
